customer_key,customer_id,email,first_name,last_name,full_name,phone,city,state,postcode,loyalty_number,registration_date,customer_segment,is_active,effective_date,expiry_date,is_current,created_timestamp
CK_CU000001,CU000001,sophia.johnson1@email.com,Sophia,Johnson,Sophia Johnson,434223402,Sydney,,,RW00000001,2022-12-01,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000002,CU000002,charlotte.davis2@email.com,Charlotte,Davis,Charlotte Davis,431357319,Adelaide,,,RW00000002,2023-10-01,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000003,CU000003,emma.rodriguez3@email.com,Emma,Rodriguez,Emma Rodriguez,455566890,Adelaide,,,RW00000003,2023-03-11,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000004,CU000004,jack.jones4@email.com,Jack,Jones,Jack Jones,419108664,Brisbane,,,RW00000004,2025-02-14,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000005,CU000005,james.brown5@email.com,James,Brown,James Brown,451770188,Melbourne,,,RW00000005,2025-06-27,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000006,CU000006,sophia.martinez6@email.com,Sophia,Martinez,Sophia Martinez,415496995,Perth,,,RW00000006,2023-02-12,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000007,CU000007,isabella.martinez7@email.com,Isabella,Martinez,Isabella Martinez,493628985,Brisbane,,,RW00000007,2023-04-12,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000008,CU000008,emma.rodriguez8@email.com,Emma,Rodriguez,Emma Rodriguez,412459183,Brisbane,,,RW00000008,2024-04-01,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000009,CU000009,charlotte.miller9@email.com,Charlotte,Miller,Charlotte Miller,486737675,Perth,,,RW00000009,2025-01-31,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000010,CU000010,jack.miller10@email.com,Jack,Miller,Jack Miller,428333765,Brisbane,,,RW00000010,2023-12-13,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000011,CU000011,thomas.davis11@email.com,Thomas,Davis,Thomas Davis,444964033,Canberra,,,RW00000011,2024-04-18,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000012,CU000012,sophia.garcia12@email.com,Sophia,Garcia,Sophia Garcia,445517258,Perth,,,RW00000012,2025-04-30,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000013,CU000013,james.williams13@email.com,James,Williams,James Williams,456726546,Perth,,,RW00000013,2023-08-12,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000014,CU000014,william.smith14@email.com,William,Smith,William Smith,488547819,Canberra,,,RW00000014,2024-08-03,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000015,CU000015,james.garcia15@email.com,James,Garcia,James Garcia,484149797,Adelaide,,,RW00000015,2023-04-17,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000016,CU000016,emma.garcia16@email.com,Emma,Garcia,Emma Garcia,474117203,Newcastle,,,RW00000016,2022-11-14,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000017,CU000017,jack.miller17@email.com,Jack,Miller,Jack Miller,462328889,Melbourne,,,RW00000017,2023-10-02,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000018,CU000018,jack.garcia18@email.com,Jack,Garcia,Jack Garcia,493346162,Canberra,,,RW00000018,2023-02-23,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000019,CU000019,james.miller19@email.com,James,Miller,James Miller,464949538,Perth,,,RW00000019,2024-05-07,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000020,CU000020,isabella.martinez20@email.com,Isabella,Martinez,Isabella Martinez,475723095,Melbourne,,,RW00000020,2022-10-08,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000021,CU000021,william.williams21@email.com,William,Williams,William Williams,426378586,Perth,,,RW00000021,2023-02-21,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000022,CU000022,thomas.davis22@email.com,Thomas,Davis,Thomas Davis,447660700,Sydney,,,RW00000022,2023-07-14,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000023,CU000023,sophia.johnson23@email.com,Sophia,Johnson,Sophia Johnson,436147534,Wollongong,,,RW00000023,2024-07-15,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000024,CU000024,emma.rodriguez24@email.com,Emma,Rodriguez,Emma Rodriguez,484598968,Melbourne,,,RW00000024,2025-08-25,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000025,CU000025,oliver.smith25@email.com,Oliver,Smith,Oliver Smith,491921070,Melbourne,,,RW00000025,2023-10-19,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000026,CU000026,charlotte.davis26@email.com,Charlotte,Davis,Charlotte Davis,410221703,Melbourne,,,RW00000026,2025-01-11,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000027,CU000027,charlotte.miller27@email.com,Charlotte,Miller,Charlotte Miller,421728320,Canberra,,,RW00000027,2025-04-06,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000028,CU000028,oliver.davis28@email.com,Oliver,Davis,Oliver Davis,442973333,Newcastle,,,RW00000028,2023-05-27,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000029,CU000029,thomas.smith29@email.com,Thomas,Smith,Thomas Smith,440225249,Brisbane,,,RW00000029,2025-01-05,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000030,CU000030,emma.williams30@email.com,Emma,Williams,Emma Williams,452681593,Adelaide,,,RW00000030,2024-01-26,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000031,CU000031,emma.williams31@email.com,Emma,Williams,Emma Williams,488949168,Melbourne,,,RW00000031,2025-04-18,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000032,CU000032,emma.johnson32@email.com,Emma,Johnson,Emma Johnson,416994534,Melbourne,,,RW00000032,2025-08-12,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000033,CU000033,james.brown33@email.com,James,Brown,James Brown,435043276,Adelaide,,,RW00000033,2024-10-25,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000034,CU000034,thomas.garcia34@email.com,Thomas,Garcia,Thomas Garcia,456819728,Melbourne,,,RW00000034,2023-11-03,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000035,CU000035,charlotte.garcia35@email.com,Charlotte,Garcia,Charlotte Garcia,467466067,Melbourne,,,RW00000035,2022-12-23,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000036,CU000036,emma.rodriguez36@email.com,Emma,Rodriguez,Emma Rodriguez,434918967,Adelaide,,,RW00000036,2023-06-04,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000037,CU000037,emma.williams37@email.com,Emma,Williams,Emma Williams,475059915,Canberra,,,RW00000037,2023-06-06,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000038,CU000038,sophia.davis38@email.com,Sophia,Davis,Sophia Davis,427570520,Newcastle,,,RW00000038,2024-06-25,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000039,CU000039,ava.garcia39@email.com,Ava,Garcia,Ava Garcia,474026102,Sydney,,,RW00000039,2024-04-27,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000040,CU000040,charlotte.brown40@email.com,Charlotte,Brown,Charlotte Brown,449040134,Wollongong,,,RW00000040,2023-03-08,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000041,CU000041,james.davis41@email.com,James,Davis,James Davis,466035388,Melbourne,,,RW00000041,2023-03-12,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000042,CU000042,thomas.williams42@email.com,Thomas,Williams,Thomas Williams,464432483,Newcastle,,,RW00000042,2025-06-27,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000043,CU000043,thomas.jones43@email.com,Thomas,Jones,Thomas Jones,491115069,Canberra,,,RW00000043,2023-12-31,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000044,CU000044,isabella.rodriguez44@email.com,Isabella,Rodriguez,Isabella Rodriguez,447830206,Sydney,,,RW00000044,2023-08-06,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000045,CU000045,william.johnson45@email.com,William,Johnson,William Johnson,455593092,Newcastle,,,RW00000045,2024-04-02,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000046,CU000046,jack.jones46@email.com,Jack,Jones,Jack Jones,473950978,Perth,,,RW00000046,2025-07-11,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
CK_CU000047,CU000047,oliver.williams47@email.com,Oliver,Williams,Oliver Williams,481934817,Perth,,,RW00000047,2024-10-28,,True,2025-01-01,2262-04-11,True,2025-10-17 11:19:01.396814
